candidate_value,seed,commit_ordinal,frame_index,spnet_age_protected,spnet_age_protected_spnet_completed,remaining_spnet_completed,mature_opacity_removed_spnet_completed,run_dir
1,0,77,379,0,0,43702,1102,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,78,384,0,0,44198,856,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,79,389,0,0,44425,936,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,80,394,0,0,44542,861,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,81,399,0,0,44155,819,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,82,404,0,0,44293,535,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,83,409,0,0,44264,789,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,84,414,0,0,45026,670,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,85,419,0,0,45637,996,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,86,424,0,0,46180,892,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,87,429,0,0,46866,962,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,88,434,0,0,47549,887,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,89,439,0,0,48277,1017,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,90,444,0,0,49247,967,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,91,449,0,0,49723,1088,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,92,454,0,0,50053,1072,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,93,459,0,0,50024,982,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,94,464,0,0,50173,891,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,95,469,0,0,50283,719,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
